6.420000e+02 2.870000e+02 3.490000e+02
6.540000e+02 2.670000e+02 3.700000e+02
6.450000e+02 2.480000e+02 3.580000e+02
8.080000e+02 3.980000e+02 7.120000e+02
6.170000e+02 2.720000e+02 3.440000e+02
6.340000e+02 2.750000e+02 3.670000e+02
6.570000e+02 2.760000e+02 3.420000e+02
6.330000e+02 2.850000e+02 3.580000e+02
8.100000e+02 3.920000e+02 6.800000e+02
6.320000e+02 2.680000e+02 3.680000e+02
7.850000e+02 3.610000e+02 7.130000e+02
6.430000e+02 2.580000e+02 3.340000e+02
6.450000e+02 2.790000e+02 3.610000e+02
7.820000e+02 3.930000e+02 7.120000e+02
6.310000e+02 2.550000e+02 3.440000e+02
7.920000e+02 3.610000e+02 6.960000e+02
7.800000e+02 3.590000e+02 6.810000e+02
8.030000e+02 3.810000e+02 7.140000e+02
7.860000e+02 3.930000e+02 6.910000e+02
6.270000e+02 2.830000e+02 3.390000e+02
